x,y,z
2.9724,0.0,0.0
2.962,0.2331,0.0
2.9387,0.4654,0.0
2.9229,0.7017,0.0
2.8298,0.9195,0.0
2.7563,1.1417,0.0
2.6743,1.3626,0.0
2.5517,1.5637,0.0
2.4406,1.7732,0.0
2.2734,1.9417,0.0
2.1112,2.1112,0.0
1.9465,2.2791,0.0
1.7477,2.4055,0.0
1.5751,2.5703,0.0
1.3542,2.6577,0.0
1.1418,2.7566,0.0
0.9275,2.8544,0.0
0.6932,2.8875,0.0
0.4693,2.9631,0.0
0.2363,3.0021,0.0
0.0,2.9807,0.0
-0.2367,3.0079,0.0
-0.4681,2.9553,0.0
-0.7019,2.9238,0.0
-0.9235,2.8423,0.0
-1.1421,2.7574,0.0
-1.3513,2.6521,0.0
-1.547,2.5245,0.0
-1.7473,2.4049,0.0
-1.9612,2.2963,0.0
-2.116,2.116,0.0
-2.2722,1.9406,0.0
-2.4387,1.7718,0.0
-2.5551,1.5658,0.0
-2.6899,1.3706,0.0
-2.7549,-2.9871,0.0
-2.868,-2.9904,0.0
-2.9248,-2.9643,0.0
-2.9822,-2.9434,0.0
-2.9908,-2.9978,0.0
-2.9618,-2.9716,0.0
-3.0003,-2.9951,0.0
-2.9492,-2.9948,0.0
-2.8967,-2.9997,0.0
-2.8343,-2.9686,0.0
-2.7462,-2.9528,0.0
-2.6407,-1.3455,0.0
-2.535,-1.5534,0.0
-2.4075,-1.7492,0.0
-2.2695,-1.9384,0.0
-2.1257,-2.1257,0.0
-1.9364,-2.2672,0.0
-1.7646,-2.4287,0.0
-1.5757,-2.5713,0.0
-1.3476,-2.6447,0.0
-1.1527,-2.7829,0.0
-0.9259,-2.8497,0.0
-0.7016,-2.9222,0.0
-0.4688,-2.96,0.0
-0.2342,-2.9757,0.0
-0.0,-2.9662,0.0
0.2329,-2.9599,0.0
0.4647,-2.9343,0.0
0.6936,-2.889,0.0
0.9175,-2.8238,0.0
1.1377,-2.7466,0.0
1.3593,-2.6677,0.0
1.571,-2.5636,0.0
1.7682,-2.4337,0.0
1.9556,-2.2897,0.0
2.0983,-2.0983,0.0
2.2886,-1.9547,0.0
2.404,-1.7466,0.0
2.5279,-1.5491,0.0
2.6531,-1.3518,0.0
2.7675,-1.1463,0.0
2.8182,-0.9157,0.0
2.8912,-0.6941,0.0
2.9476,-0.4669,0.0
3.0005,-0.2361,0.0
2.9848,0.0,0.15
2.973,0.234,0.15
2.929,0.4639,0.15
2.9295,0.7033,0.15
2.8677,0.9318,0.15
2.7746,1.1493,0.15
2.6586,1.3546,0.15
2.5465,1.5605,0.15
2.4098,1.7508,0.15
2.2806,1.9478,0.15
2.1207,2.1207,0.15
1.9344,2.2649,0.15
1.7706,2.4371,0.15
